oturum,sure_dk,bekleme_dk,delta
1,7.581,14,1
1,2.72,7,1
1,1.231,4,1
1,2.948,6,1
1,10.257,8,1
1,5.052,7,1
1,1.769,3,1
1,9.347,7,1
1,10.611,7,0
2,1.287,5,1
2,6.158,13,1
2,2.88,6,1
2,8.524,13,1
2,1.703,4,1
2,6.589,7,1
2,6.609,7,1
2,1.88,3,1
2,1.896,3,1
2,13.84,1,0
3,1.589,4,1
3,7.457,10,1
3,8.046,11,1
3,1.099,3,1
3,9.302,9,1
3,2.659,4,1
3,7.047,5,1
3,2.146,3,1
3,8.483,7,1
3,1.633,11,0
4,9.253,14,1
4,1.313,4,1
4,7.084,9,1
4,2.185,4,1
4,7.033,7,1
4,5.663,6,1
4,1.892,3,1
4,6.058,5,1
4,5.905,5,1
4,5.382,5,0
5,10.239,17,1
5,2.387,6,1
5,6.025,11,1
5,1.731,5,1
5,8.188,7,1
5,1.645,3,1
5,9.915,9,1
5,1.858,3,1
5,7.156,5,0
6,1.323,5,1
6,10.341,19,1
6,2.603,7,1
6,9.697,15,1
6,1.121,3,1
6,8.806,8,1
6,9.119,9,1
6,2.205,2,0
7,8.567,21,1
7,2.281,8,1
7,2.172,7,1
7,11.904,15,1
7,1.748,5,1
7,5.308,9,1
7,1.878,4,1
7,8.871,5,0
8,4.995,11,1
8,12.239,17,1
8,1.614,5,1
8,2.533,6,1
8,15.887,15,1
8,1.565,4,1
8,2.596,4,1
8,8.74,6,0
9,7.84,16,1
9,0.915,4,1
9,10.5,16,1
9,1.874,5,1
9,2.981,5,1
9,8.058,10,1
9,5.416,7,1
9,2.275,12,0
10,12.589,19,1
10,1.708,5,1
10,2.375,5,1
10,12.129,10,1
10,2.257,5,1
10,8.772,9,1
10,2.328,4,1
10,1.877,13,0
11,7.775,20,1
11,2.064,7,1
11,8.353,15,1
11,1.957,5,1
11,5.443,12,1
11,1.902,4,1
11,6.58,14,0
12,10.506,21,1
12,2.269,7,1
12,3.21,8,1
12,1.179,3,1
12,9.647,10,1
12,9.629,11,1
12,2.448,4,1
12,2.132,8,0
13,7.176,13,1
13,2.187,6,1
13,8.777,13,1
13,2.124,5,1
13,2.456,5,1
13,6.145,7,1
13,6.591,8,1
13,10.48,10,0
14,2.981,9,1
14,9.351,18,1
14,1.293,4,1
14,10.712,14,1
14,1.532,4,1
14,8.743,10,1
14,1.71,3,1
14,10.413,6,0
15,1.802,7,1
15,6.826,15,1
15,8.331,16,1
15,2.094,5,1
15,1.547,4,1
15,12.434,11,1
15,1.462,3,1
15,5.928,10,0
16,5.012,16,1
16,1.212,4,1
16,6.852,15,1
16,9.388,17,1
16,2.203,5,1
16,6.245,11,1
16,3.047,16,0
17,2.741,8,1
17,7.627,14,1
17,7.75,14,1
17,1.981,5,1
17,7.091,11,1
17,1.943,4,1
17,14.419,10,1
17,1.118,3,0
18,3.156,8,1
18,8.394,14,1
18,2.748,8,1
18,9.964,12,1
18,2.507,6,1
18,2.138,4,1
18,9.543,8,1
18,1.454,3,1
18,6.346,5,0
19,8.308,20,1
19,2.558,8,1
19,8.927,16,1
19,1.471,5,1
19,8.708,12,1
19,1.694,5,1
19,3.539,5,1
19,7.689,1,0
20,2.802,12,1
20,8.371,17,1
20,2.634,7,1
20,1.904,5,1
20,6.266,10,1
20,9.705,12,1
20,1.754,4,1
20,7.346,9,0
21,2.129,8,1
21,8.394,19,1
21,1.459,5,1
21,9.574,13,1
21,1.428,4,1
21,6.732,7,1
21,5.772,8,1
21,1.324,3,1
21,6.483,4,0
22,14.072,33,1
22,2.405,8,1
22,1.38,5,1
22,9.599,16,1
22,1.933,6,1
22,9.116,8,0
23,2.303,13,1
23,8.43,23,1
23,2.623,12,1
23,4.123,13,1
23,8.111,17,1
23,2.183,11,0
24,1.233,6,1
24,10.581,19,1
24,3.016,11,1
24,7.897,17,1
24,1.953,6,1
24,2.05,5,1
24,9.397,14,0
25,5.901,19,1
25,2.359,10,1
25,4.659,13,1
25,14.001,19,1
25,2.539,8,1
25,1.758,5,1
25,7.803,4,0
26,10.115,30,1
26,2.032,11,1
26,2.047,11,1
26,1.573,7,1
26,10.02,21,1
26,8.193,2,0
27,1.754,13,1
27,10.973,34,1
27,2.66,12,1
27,3.007,13,1
27,2.594,22,0
28,11.157,32,1
28,1.996,10,1
28,3.656,14,1
28,1.939,8,1
28,7.202,16,1
28,1.194,7,0
29,7.351,26,1
29,5.886,21,1
29,1.961,12,1
29,6.18,17,1
29,1.915,7,1
29,3.415,3,0
30,11.381,28,1
30,2.082,13,1
30,6.124,19,1
30,1.969,10,1
30,11.512,12,0
31,1.878,12,1
31,8.416,26,1
31,7.591,24,1
31,1.648,8,1
31,2.29,7,1
31,7.803,7,0
32,1.285,6,1
32,9.271,22,1
32,4.513,12,1
32,6.943,15,1
32,1.639,5,1
32,10.451,20,0
33,1.874,9,1
33,10.207,22,1
33,2.141,8,1
33,2.175,6,1
33,8.385,13,1
33,2.016,5,1
33,9.071,12,1
33,2.981,3,0
34,8.553,31,1
34,1.869,10,1
34,15.285,32,1
34,1.358,15,0
35,7.471,25,1
35,1.169,6,1
35,2.311,8,1
35,12.031,17,1
35,1.755,6,1
35,9.669,12,1
35,1.162,6,0
36,6.964,25,1
36,2.506,10,1
36,7.31,14,1
36,2.474,8,1
36,6.774,12,1
36,2.453,5,1
36,7.267,5,0
