tarih,bdt
2003-09-01,33.03
2003-09-08,33.22
2003-09-15,33.16
2003-09-22,34.29
2003-09-29,34.32
2003-10-06,33.67
2003-10-13,34.83
2003-10-20,35.14
2003-10-27,36.4
2003-11-03,36.6
2003-11-10,36.87
2003-11-17,37.0
2003-11-24,
2003-12-01,37.6
2003-12-08,37.68
2003-12-15,38.06
2003-12-22,38.91
2003-12-29,38.8
2004-01-05,38.28
2004-01-12,38.43
2004-01-19,38.46
2004-01-26,38.8
2004-02-02,
2004-02-09,37.96
2004-02-16,38.44
2004-02-23,38.76
2004-03-01,39.64
2004-03-08,38.92
2004-03-15,38.78
2004-03-22,38.83
2004-03-29,39.88
2004-04-05,40.48
2004-04-12,40.18
2004-04-19,41.45
2004-04-26,41.6
2004-05-03,41.96
2004-05-10,42.17
2004-05-17,42.02
2004-05-24,42.29
2004-05-31,42.1
2004-06-07,42.46
2004-06-14,42.19
2004-06-21,41.22
2004-06-28,40.67
2004-07-05,40.14
2004-07-12,39.06
2004-07-19,39.56
2004-07-26,38.43
2004-08-02,
2004-08-09,37.55
2004-08-16,36.53
2004-08-23,36.56
2004-08-30,35.58
2004-09-06,35.26
2004-09-13,36.34
2004-09-20,36.76
2004-09-27,36.37
2004-10-04,37.4
2004-10-11,37.21
2004-10-18,37.61
2004-10-25,38.17
2004-11-01,39.44
2004-11-08,39.55
2004-11-15,
2004-11-22,40.78
2004-11-29,40.72
2004-12-06,41.49
2004-12-13,41.8
2004-12-20,40.59
2004-12-27,40.67
2005-01-03,41.21
2005-01-10,41.2
2005-01-17,41.17
2005-01-24,
2005-01-31,41.76
2005-02-07,41.47
2005-02-14,41.78
2005-02-21,41.2
2005-02-28,42.26
2005-03-07,42.07
2005-03-14,43.38
2005-03-21,43.16
2005-03-28,42.92
2005-04-04,43.16
2005-04-11,43.33
2005-04-18,43.67
2005-04-25,44.07
2005-05-02,44.2
2005-05-09,44.43
2005-05-16,44.76
2005-05-23,45.39
2005-05-30,45.04
2005-06-06,45.68
2005-06-13,45.41
2005-06-20,44.9
2005-06-27,44.09
2005-07-04,43.85
2005-07-11,43.44
2005-07-18,42.14
2005-07-25,42.34
2005-08-01,
2005-08-08,40.46
2005-08-15,40.12
2005-08-22,40.04
2005-08-29,39.95
2005-09-05,38.7
2005-09-12,38.75
2005-09-19,39.32
2005-09-26,39.39
2005-10-03,39.71
2005-10-10,40.2
2005-10-17,41.09
2005-10-24,41.85
2005-10-31,
2005-11-07,42.16
2005-11-14,42.49
2005-11-21,42.62
2005-11-28,43.86
2005-12-05,43.96
2005-12-12,44.04
2005-12-19,43.42
2005-12-26,43.78
2006-01-02,43.71
2006-01-09,
2006-01-16,44.58
2006-01-23,44.44
2006-01-30,43.68
2006-02-06,44.13
2006-02-13,44.38
2006-02-20,44.97
2006-02-27,45.01
2006-03-06,45.43
2006-03-13,45.0
2006-03-20,45.03
2006-03-27,45.59
2006-04-03,46.14
2006-04-10,46.28
2006-04-17,46.09
2006-04-24,47.33
2006-05-01,47.95
2006-05-08,47.37
2006-05-15,48.76
2006-05-22,48.34
2006-05-29,48.55
2006-06-05,48.33
2006-06-12,47.79
2006-06-19,47.12
2006-06-26,47.17
2006-07-03,46.32
2006-07-10,46.7
2006-07-17,45.98
2006-07-24,
2006-07-31,43.76
2006-08-07,
2006-08-14,42.28
2006-08-21,41.4
